Sequencia;Classe;skuname;skuname_original;x1;y1;x2;y2;Escala;FormatoObjeto;CorObjetoDetalhado;CorRotuloDetalhado;CorObjetoSimples;FormatoRotulo;CorRotuloSimilar;CorObjetoSimilar;ForcaVizinhanca
0;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;1222;1827;1606;2547;86;2.18;-0.04;0.68;0.83;0.63;-1000000.0;-1000000.0;2.0000
1;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;1327;3228;1625;3788;81;3.60;-0.10;0.42;-0.42;-0.70;-1000000.0;-1000000.0;3.0000
2;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;2040;3207;2354;3797;82;2.01;-3.02;-1.61;-2.09;-1.54;-1000000.0;-1000000.0;1.0000
3;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;1648;3198;1983;3825;83;1.58;-2.59;-2.02;-2.14;-1.52;-1000000.0;-1000000.0;2.0000
4;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;2070;1855;2431;2533;85;1.27;-2.36;-2.07;-1.38;-0.83;-1000000.0;-1000000.0;2.0000
5;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;944;3207;1263;3806;82;1.21;-4.38;-4.62;-2.36;-2.34;-1000000.0;-1000000.0;2.0000
6;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;1669;1836;2009;2472;84;1.06;-1.97;-1.61;-1.24;-0.86;-1000000.0;-1000000.0;2.0000
7;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;1322;3633;1616;4184;81;0.88;-1.72;-0.17;-1.21;-0.71;-1000000.0;-1000000.0;1.0000
8;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;768;1720;1208;2546;89;0.82;-3.41;-3.86;-2.08;-2.20;-1000000.0;-1000000.0;1.0000
9;7249;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;7249_ssd_fanta_guarana_sleek_220_ml_descartavel;2380;1815;2694;2405;82;0.72;-0.62;0.07;-0.39;-0.10;-1000000.0;-1000000.0;1.0000
10;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;1347;2540;1555;2852;-999999;2.51;0.66;-999999.00;0.07;-999999.00;-1000000.0;-1000000.0;-999999.0000
11;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;722;500;923;803;-999999;2.40;-3.07;-999999.00;-2.30;-999999.00;-1000000.0;-1000000.0;-999999.0000
12;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2640;975;2799;1215;-999999;1.91;-3.58;-999999.00;-1.86;-999999.00;-1000000.0;-1000000.0;-999999.0000
13;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;1674;2899;1944;3304;-999999;1.90;-2.75;-999999.00;-2.69;-999999.00;-1000000.0;-1000000.0;-999999.0000
14;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;569;1857;761;2146;-999999;1.86;-4.32;-999999.00;-2.26;-999999.00;-1000000.0;-1000000.0;-999999.0000
15;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;229;3270;391;3515;-999999;1.78;-4.08;-999999.00;-2.19;-999999.00;-1000000.0;-1000000.0;-999999.0000
16;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;1669;2410;1856;2692;-999999;1.66;-1.67;-999999.00;-1.48;-999999.00;-1000000.0;-1000000.0;-999999.0000
17;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2288;3399;2811;4181;-999999;1.52;-2.46;-999999.00;-1.42;-999999.00;-1000000.0;-1000000.0;-999999.0000
18;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;701;773;867;1023;-999999;1.21;-3.10;-999999.00;-2.12;-999999.00;-1000000.0;-1000000.0;-999999.0000
19;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2051;2443;2227;2707;-999999;1.19;-2.17;-999999.00;-1.29;-999999.00;-1000000.0;-1000000.0;-999999.0000
20;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;1014;1074;1210;1370;-999999;1.17;-3.20;-999999.00;-1.96;-999999.00;-1000000.0;-1000000.0;-999999.0000
21;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;1679;3717;1912;4069;-999999;1.08;-2.04;-999999.00;-1.59;-999999.00;-1000000.0;-1000000.0;-999999.0000
22;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2070;2920;2301;3267;-999999;1.08;-2.78;-999999.00;-2.25;-999999.00;-1000000.0;-1000000.0;-999999.0000
23;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2079;3705;2312;4057;-999999;0.98;-1.53;-999999.00;-1.02;-999999.00;-1000000.0;-1000000.0;-999999.0000
24;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2605;1600;2922;2074;-999999;0.83;-1.56;-999999.00;-1.13;-999999.00;-1000000.0;-1000000.0;-999999.0000
25;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;551;1056;710;1294;-999999;0.77;-4.50;-999999.00;-2.49;-999999.00;-1000000.0;-1000000.0;-999999.0000
26;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;875;2438;1064;2722;-999999;0.77;-4.51;-999999.00;-2.47;-999999.00;-1000000.0;-1000000.0;-999999.0000
27;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2406;3168;2556;3392;-999999;0.52;-1.97;-999999.00;-1.92;-999999.00;-1000000.0;-1000000.0;-999999.0000
28;6992;6992_fanta_other;7249_ssd_fanta_guarana_sleek_220_ml_descartavel-rotulo;2431;2547;2586;2780;-999999;0.29;-2.05;-999999.00;-1.31;-999999.00;-1000000.0;-1000000.0;-999999.0000
