Sequencia;Classe;skuname;skuname_original;x1;y1;x2;y2;Escala;FormatoObjeto;CorObjetoDetalhado;CorRotuloDetalhado;CorObjetoSimples;FormatoRotulo;CorRotuloSimilar;CorObjetoSimilar;ForcaVizinhanca
0;7225;7225_ssd_cocacola_zero_350_ml_lata_descartavel;7225_ssd_cocacola_zero_350_ml_lata_descartavel;328;147;818;1064;88;3.69;1.95;2.46;0.39;1.50;-1000000.0;-1000000.0;2.0000
1;7069;7069_ssd_cocacola_regular_350_ml_lata_descartavel;7069_ssd_cocacola_regular_350_ml_lata_descartavel;1114;154;1599;1001;86;5.49;-0.37;2.53;0.01;1.14;-1000000.0;-1000000.0;3.0000
2;7069;7069_ssd_cocacola_regular_350_ml_lata_descartavel;7069_ssd_cocacola_regular_350_ml_lata_descartavel;673;114;1210;1054;89;4.30;0.90;2.31;-0.36;1.10;-1000000.0;-1000000.0;3.0000
3;7198;7198_ssd_pet_1_l_cocacola_zero_descartavel;7198_ssd_pet_1_l_cocacola_zero_descartavel;668;1704;1191;3405;84;2.36;0.31;4.30;-0.27;1.39;-1000000.0;-1000000.0;2.0000
4;7208;7208_ssd_pet_500_ml_cocacola_regular_descartavel;7208_ssd_pet_500_ml_cocacola_regular_descartavel;1633;1764;2146;3434;87;2.22;1.57;2.44;1.02;1.03;-1000000.0;-1000000.0;0.0000
5;6924;6924_ssd_cocacola_zero_sleek_220_ml_descartavel;6924_ssd_cocacola_zero_sleek_220_ml_descartavel;456;975;842;1648;85;2.84;-0.06;2.10;-0.44;0.78;-1000000.0;-1000000.0;2.0000
6;7186;7186_ssd_mini_pet_cocacola_250_ml_descartavel;7186_ssd_mini_pet_cocacola_250_ml_descartavel;840;3380;1217;4511;85;2.26;0.58;1.42;-0.18;1.35;-1000000.0;-1000000.0;0.0000
7;7069;7069_ssd_cocacola_regular_350_ml_lata_descartavel;7069_ssd_cocacola_regular_350_ml_lata_descartavel;1506;154;1989;1001;86;5.27;-0.92;-0.74;-0.82;-0.29;-1000000.0;-1000000.0;2.0000
8;7262;7262_ssd_cocacola_cafe_sleek_220_ml_lata_descartavel;7262_ssd_cocacola_cafe_sleek_220_ml_lata_descartavel;1178;977;1553;1678;86;4.29;0.79;-0.86;-0.28;-0.30;-1000000.0;-1000000.0;3.0000
9;7262;7262_ssd_cocacola_cafe_sleek_220_ml_lata_descartavel;7262_ssd_cocacola_cafe_sleek_220_ml_lata_descartavel;1535;977;1912;1685;86;4.88;-1.72;-0.75;-1.28;-0.53;-1000000.0;-1000000.0;2.0000
10;7262;7262_ssd_cocacola_cafe_sleek_220_ml_lata_descartavel;7262_ssd_cocacola_cafe_sleek_220_ml_lata_descartavel;812;979;1182;1673;85;4.12;-0.68;-0.47;-0.45;-0.14;-1000000.0;-1000000.0;3.0000
11;7178;7178_ssd_pet_1_l_cocacola_regular_descartavel;7178_ssd_pet_1_l_cocacola_regular_descartavel;1148;1728;1667;3417;84;1.08;-1.65;1.77;-0.49;0.92;-1000000.0;-1000000.0;2.0000
12;7225;7225_ssd_cocacola_zero_350_ml_lata_descartavel;7225_ssd_cocacola_zero_350_ml_lata_descartavel;1194;3444;1696;4384;89;1.16;-0.63;-0.09;-0.70;-0.49;-1000000.0;-1000000.0;1.0000
13;7210;7210_ssd_mini_pet_cocacola_zero_250_ml_descartavel;7210_ssd_mini_pet_cocacola_zero_250_ml_descartavel;1620;3295;2000;4436;85;0.52;-0.30;-1.47;-0.15;-0.59;-1000000.0;-1000000.0;1.0000
14;6938;6938_pepsi_other;6937_ssd_pepsi_1_l_pet_descartavel-rotulo;1980;979;2156;1178;-999999;2.16;1.01;-999999.00;-0.24;-999999.00;-1000000.0;-1000000.0;-999999.0000
15;7021;7021_agua_crystal_other;6920_agua_crystal_pet_500_ml_descartavel-rotulo;2387;951;2620;1159;-999999;1.98;0.32;-999999.00;0.62;-999999.00;-1000000.0;-1000000.0;-999999.0000
16;7040;7040_i9_other;7435_i9_limao_500_ml_descartavel-rotulo;2142;553;2341;752;-999999;0.97;0.32;-999999.00;0.49;-999999.00;-1000000.0;-1000000.0;-999999.0000
17;6938;6938_pepsi_other;6937_ssd_pepsi_1_l_pet_descartavel-rotulo;2468;143;2653;351;-999999;1.55;0.13;-999999.00;-0.19;-999999.00;-1000000.0;-1000000.0;-999999.0000
18;6938;6938_pepsi_other;6937_ssd_pepsi_1_l_pet_descartavel-rotulo;2049;150;2248;374;-999999;1.32;-0.13;-999999.00;-0.35;-999999.00;-1000000.0;-1000000.0;-999999.0000
